You entered a buffer length of 100,x_100,,y_100_sideways,,z_100_sideways,,,,,,,,,
Average X value:,-0.073324, Average Y value:,0.98306, Average Z value:,0.206991, Max X values:,0.751328,-0.691632, Max Y values:,1.078008,0.897943, Max Z values:,0.751328,-0.691632
Average X value:,-0.0631, Average Y value:,0.982952, Average Z value:,0.206884, Max X values:,0.751328,-0.691632, Max Y values:,1.078008,0.897943, Max Z values:,0.751328,-0.691632
Average X value:,-0.052323, Average Y value:,0.983109, Average Z value:,0.207155, Max X values:,0.751328,-0.691632, Max Y values:,1.078008,0.897943, Max Z values:,0.751328,-0.691632
Average X value:,-0.041411, Average Y value:,0.983504, Average Z value:,0.207531, Max X values:,0.751328,-0.691632, Max Y values:,1.078008,0.897943, Max Z values:,0.751328,-0.691632
Average X value:,-0.03105, Average Y value:,0.983823, Average Z value:,0.207411, Max X values:,0.751328,-0.691632, Max Y values:,1.078008,0.897943, Max Z values:,0.751328,-0.691632
Average X value:,-0.022172, Average Y value:,0.983871, Average Z value:,0.20664, Max X values:,0.751328,-0.691632, Max Y values:,1.078008,0.897943, Max Z values:,0.751328,-0.691632
Average X value:,-0.014246, Average Y value:,0.983983, Average Z value:,0.206665, Max X values:,0.751328,-0.691632, Max Y values:,1.078008,0.897943, Max Z values:,0.751328,-0.691632
Average X value:,-0.006852, Average Y value:,0.984511, Average Z value:,0.206173, Max X values:,0.751328,-0.691632, Max Y values:,1.078008,0.897943, Max Z values:,0.751328,-0.691632
Average X value:,-0.000104, Average Y value:,0.98424, Average Z value:,0.205197, Max X values:,0.751328,-0.691632, Max Y values:,1.078008,0.897943, Max Z values:,0.751328,-0.691632
Average X value:,0.006466, Average Y value:,0.984368, Average Z value:,0.20427, Max X values:,0.751328,-0.691632, Max Y values:,1.078008,0.897943, Max Z values:,0.751328,-0.691632
Average X value:,0.012763, Average Y value:,0.984647, Average Z value:,0.203943, Max X values:,0.751328,-0.691632, Max Y values:,1.078008,0.897943, Max Z values:,0.751328,-0.691632
Average X value:,0.018907, Average Y value:,0.985199, Average Z value:,0.203682, Max X values:,0.751328,-0.691632, Max Y values:,1.078008,0.897943, Max Z values:,0.751328,-0.691632
Average X value:,0.025164, Average Y value:,0.984925, Average Z value:,0.203836, Max X values:,0.751328,-0.691632, Max Y values:,1.078008,0.897943, Max Z values:,0.751328,-0.691632
Average X value:,0.031339, Average Y value:,0.985249, Average Z value:,0.203726, Max X values:,0.751328,-0.691632, Max Y values:,1.078008,0.897943, Max Z values:,0.751328,-0.691632
Average X value:,0.036908, Average Y value:,0.985998, Average Z value:,0.203847, Max X values:,0.751328,-0.691632, Max Y values:,1.078008,0.897943, Max Z values:,0.751328,-0.691632
Average X value:,0.041714, Average Y value:,0.986398, Average Z value:,0.204284, Max X values:,0.751328,-0.691632, Max Y values:,1.078008,0.897943, Max Z values:,0.751328,-0.691632
Average X value:,0.045791, Average Y value:,0.987056, Average Z value:,0.205155, Max X values:,0.751328,-0.691632, Max Y values:,1.092535,0.897943, Max Z values:,0.751328,-0.691632
Average X value:,0.04888, Average Y value:,0.987879, Average Z value:,0.206401, Max X values:,0.751328,-0.691632, Max Y values:,1.092535,0.897943, Max Z values:,0.751328,-0.691632
Average X value:,0.050827, Average Y value:,0.987331, Average Z value:,0.207643, Max X values:,0.751328,-0.691632, Max Y values:,1.092535,0.897943, Max Z values:,0.751328,-0.691632
Average X value:,0.051945, Average Y value:,0.986132, Average Z value:,0.209109, Max X values:,0.751328,-0.691632, Max Y values:,1.092535,0.897943, Max Z values:,0.751328,-0.691632
Average X value:,0.052167, Average Y value:,0.986709, Average Z value:,0.21071, Max X values:,0.751328,-0.691632, Max Y values:,1.092535,0.897943, Max Z values:,0.751328,-0.691632
Average X value:,0.051229, Average Y value:,0.986368, Average Z value:,0.211426, Max X values:,0.751328,-0.691632, Max Y values:,1.092535,0.897943, Max Z values:,0.751328,-0.691632
Average X value:,0.049217, Average Y value:,0.986299, Average Z value:,0.212142, Max X values:,0.751328,-0.691632, Max Y values:,1.092535,0.897943, Max Z values:,0.751328,-0.691632
Average X value:,0.045542, Average Y value:,0.985817, Average Z value:,0.212347, Max X values:,0.751328,-0.691632, Max Y values:,1.092535,0.897943, Max Z values:,0.751328,-0.691632
Average X value:,0.039756, Average Y value:,0.985804, Average Z value:,0.211889, Max X values:,0.751328,-0.691632, Max Y values:,1.092535,0.897943, Max Z values:,0.751328,-0.691632
Average X value:,0.031638, Average Y value:,0.98555, Average Z value:,0.211386, Max X values:,0.751328,-0.691632, Max Y values:,1.092535,0.897943, Max Z values:,0.751328,-0.691632
Average X value:,0.022792, Average Y value:,0.984417, Average Z value:,0.211677, Max X values:,0.751328,-0.691632, Max Y values:,1.092535,0.897943, Max Z values:,0.751328,-0.691632
Average X value:,0.012485, Average Y value:,0.984145, Average Z value:,0.210688, Max X values:,0.751328,-0.691632, Max Y values:,1.092535,0.897943, Max Z values:,0.751328,-0.691632
Average X value:,0.000563, Average Y value:,0.985065, Average Z value:,0.210247, Max X values:,0.751328,-0.691632, Max Y values:,1.092535,0.897943, Max Z values:,0.751328,-0.691632
Average X value:,-0.01211, Average Y value:,0.985109, Average Z value:,0.210287, Max X values:,0.751328,-0.691632, Max Y values:,1.092535,0.897943, Max Z values:,0.751328,-0.691632
Average X value:,-0.024071, Average Y value:,0.984955, Average Z value:,0.211176, Max X values:,0.700787,-0.691632, Max Y values:,1.092535,0.897943, Max Z values:,0.700787,-0.691632
Average X value:,-0.033906, Average Y value:,0.984695, Average Z value:,0.212512, Max X values:,0.700787,-0.691632, Max Y values:,1.092535,0.897943, Max Z values:,0.700787,-0.691632
Average X value:,-0.043001, Average Y value:,0.984385, Average Z value:,0.213741, Max X values:,0.700787,-0.691632, Max Y values:,1.092535,0.897943, Max Z values:,0.700787,-0.691632
Average X value:,-0.050582, Average Y value:,0.984535, Average Z value:,0.21506, Max X values:,0.700787,-0.691632, Max Y values:,1.092535,0.897943, Max Z values:,0.700787,-0.691632
Average X value:,-0.056866, Average Y value:,0.983441, Average Z value:,0.215226, Max X values:,0.700787,-0.691632, Max Y values:,1.092535,0.897943, Max Z values:,0.700787,-0.691632
Average X value:,-0.061342, Average Y value:,0.983639, Average Z value:,0.216045, Max X values:,0.700787,-0.691632, Max Y values:,1.092535,0.897943, Max Z values:,0.700787,-0.691632
Average X value:,-0.063869, Average Y value:,0.982621, Average Z value:,0.217071, Max X values:,0.700787,-0.691632, Max Y values:,1.092535,0.897943, Max Z values:,0.700787,-0.691632
Average X value:,-0.065386, Average Y value:,0.981901, Average Z value:,0.21879, Max X values:,0.700787,-0.691632, Max Y values:,1.092535,0.897943, Max Z values:,0.700787,-0.691632
Average X value:,-0.065243, Average Y value:,0.981832, Average Z value:,0.220565, Max X values:,0.700787,-0.691632, Max Y values:,1.092535,0.897943, Max Z values:,0.700787,-0.691632
Average X value:,-0.064075, Average Y value:,0.981981, Average Z value:,0.221865, Max X values:,0.700787,-0.691632, Max Y values:,1.092535,0.897943, Max Z values:,0.700787,-0.691632
Average X value:,-0.06157, Average Y value:,0.98235, Average Z value:,0.223008, Max X values:,0.700787,-0.691632, Max Y values:,1.092535,0.897943, Max Z values:,0.700787,-0.691632
Average X value:,-0.057574, Average Y value:,0.983071, Average Z value:,0.223516, Max X values:,0.700787,-0.691632, Max Y values:,1.092535,0.897943, Max Z values:,0.700787,-0.691632
Average X value:,-0.05206, Average Y value:,0.984071, Average Z value:,0.223164, Max X values:,0.700787,-0.691632, Max Y values:,1.092535,0.897943, Max Z values:,0.700787,-0.691632
Average X value:,-0.044643, Average Y value:,0.984566, Average Z value:,0.22204, Max X values:,0.700787,-0.691632, Max Y values:,1.092535,0.897943, Max Z values:,0.700787,-0.691632
Average X value:,-0.035166, Average Y value:,0.984768, Average Z value:,0.220711, Max X values:,0.700787,-0.691632, Max Y values:,1.092535,0.897943, Max Z values:,0.700787,-0.691632
Average X value:,-0.024584, Average Y value:,0.98531, Average Z value:,0.220393, Max X values:,0.700787,-0.691632, Max Y values:,1.092535,0.897943, Max Z values:,0.700787,-0.691632
Average X value:,-0.015609, Average Y value:,0.985503, Average Z value:,0.220515, Max X values:,0.700787,-0.691632, Max Y values:,1.092535,0.897943, Max Z values:,0.700787,-0.691632
Average X value:,-0.004916, Average Y value:,0.985635, Average Z value:,0.22001, Max X values:,0.700787,-0.691632, Max Y values:,1.092535,0.897943, Max Z values:,0.700787,-0.691632
Average X value:,0.006607, Average Y value:,0.985976, Average Z value:,0.218879, Max X values:,0.700787,-0.669291, Max Y values:,1.092535,0.897943, Max Z values:,0.700787,-0.669291
Average X value:,0.01623, Average Y value:,0.986267, Average Z value:,0.217947, Max X values:,0.700787,-0.669291, Max Y values:,1.092535,0.897943, Max Z values:,0.700787,-0.669291
Average X value:,0.025404, Average Y value:,0.986458, Average Z value:,0.217427, Max X values:,0.700787,-0.669291, Max Y values:,1.092535,0.897943, Max Z values:,0.700787,-0.669291
Average X value:,0.033634, Average Y value:,0.987112, Average Z value:,0.217757, Max X values:,0.700787,-0.669291, Max Y values:,1.092535,0.897943, Max Z values:,0.700787,-0.669291
Average X value:,0.041139, Average Y value:,0.986783, Average Z value:,0.217892, Max X values:,0.700787,-0.669291, Max Y values:,1.092535,0.897943, Max Z values:,0.700787,-0.669291
Average X value:,0.047721, Average Y value:,0.986674, Average Z value:,0.218258, Max X values:,0.700787,-0.669291, Max Y values:,1.092535,0.897943, Max Z values:,0.700787,-0.669291
Average X value:,0.053366, Average Y value:,0.986729, Average Z value:,0.218632, Max X values:,0.700787,-0.669291, Max Y values:,1.092535,0.897943, Max Z values:,0.700787,-0.669291
Average X value:,0.057757, Average Y value:,0.987326, Average Z value:,0.219303, Max X values:,0.700787,-0.669291, Max Y values:,1.092535,0.897943, Max Z values:,0.700787,-0.669291
Average X value:,0.061045, Average Y value:,0.9869, Average Z value:,0.219629, Max X values:,0.700787,-0.669291, Max Y values:,1.092535,0.897943, Max Z values:,0.700787,-0.669291
Average X value:,0.063421, Average Y value:,0.986518, Average Z value:,0.220286, Max X values:,0.700787,-0.669291, Max Y values:,1.092535,0.897943, Max Z values:,0.700787,-0.669291
Average X value:,0.064972, Average Y value:,0.986645, Average Z value:,0.221234, Max X values:,0.700787,-0.669291, Max Y values:,1.092535,0.897943, Max Z values:,0.700787,-0.669291
Average X value:,0.065224, Average Y value:,0.986587, Average Z value:,0.221629, Max X values:,0.700787,-0.669291, Max Y values:,1.092535,0.897943, Max Z values:,0.700787,-0.669291
Average X value:,0.063508, Average Y value:,0.986206, Average Z value:,0.221668, Max X values:,0.700787,-0.669291, Max Y values:,1.092535,0.897943, Max Z values:,0.700787,-0.669291
Average X value:,0.060087, Average Y value:,0.986309, Average Z value:,0.221802, Max X values:,0.700787,-0.669291, Max Y values:,1.092535,0.897943, Max Z values:,0.700787,-0.669291
Average X value:,0.054362, Average Y value:,0.985987, Average Z value:,0.222189, Max X values:,0.700787,-0.669291, Max Y values:,1.092535,0.897943, Max Z values:,0.700787,-0.669291
Average X value:,0.046547, Average Y value:,0.985994, Average Z value:,0.223209, Max X values:,0.700787,-0.669291, Max Y values:,1.092535,0.897943, Max Z values:,0.700787,-0.669291
Average X value:,0.036036, Average Y value:,0.985042, Average Z value:,0.223332, Max X values:,0.700787,-0.669291, Max Y values:,1.092535,0.897943, Max Z values:,0.700787,-0.669291
Average X value:,0.023877, Average Y value:,0.98484, Average Z value:,0.223262, Max X values:,0.700787,-0.669291, Max Y values:,1.092535,0.897943, Max Z values:,0.700787,-0.669291
Average X value:,0.010286, Average Y value:,0.984877, Average Z value:,0.223635, Max X values:,0.700787,-0.690045, Max Y values:,1.092535,0.897943, Max Z values:,0.700787,-0.690045
