You entered a buffer length of 20,,x_20,y_20_up,z_20,z_20_up,,,,,,,,,,,,y_100
Average X value:,0.11236, Average Y value:,1.125258, Average Z value:,0.278575, Max X values:,0.241531,0.016908, Max Y values:,1.582067,0.966062, Max Z values:,0.241531,0.016908,,,1.053726
Average X value:,0.114521, Average Y value:,1.159446, Average Z value:,0.283043, Max X values:,0.241531,0.02289, Max Y values:,1.664103,0.966062, Max Z values:,0.241531,0.02289,,,1.066203
Average X value:,0.116059, Average Y value:,1.196557, Average Z value:,0.287658, Max X values:,0.241531,0.02289, Max Y values:,1.729781,0.966062, Max Z values:,0.241531,0.02289,,,1.078989
Average X value:,0.117555, Average Y value:,1.238277, Average Z value:,0.291918, Max X values:,0.241531,0.02289, Max Y values:,1.824879,0.966062, Max Z values:,0.241531,0.02289,,,1.091278
Average X value:,0.117408, Average Y value:,1.285064, Average Z value:,0.294665, Max X values:,0.241531,0.01996, Max Y values:,1.912898,0.966062, Max Z values:,0.241531,0.01996,,,1.102759
Average X value:,0.117744, Average Y value:,1.33243, Average Z value:,0.300189, Max X values:,0.241531,0.01996, Max Y values:,1.925227,0.966062, Max Z values:,0.241531,0.01996,,,1.112733
Average X value:,0.119008, Average Y value:,1.378551, Average Z value:,0.311628, Max X values:,0.241531,0.01996, Max Y values:,1.925227,0.966062, Max Z values:,0.241531,0.01996,,,1.121012
Average X value:,0.119954, Average Y value:,1.424397, Average Z value:,0.32477, Max X values:,0.241531,0.01996, Max Y values:,1.925227,0.966062, Max Z values:,0.241531,0.01996,,,1.127453
Average X value:,0.116346, Average Y value:,1.468205, Average Z value:,0.334426, Max X values:,0.241531,0.01996, Max Y values:,1.925227,0.971434, Max Z values:,0.241531,0.01996,,,1.131591
Average X value:,0.111658, Average Y value:,1.507532, Average Z value:,0.338436, Max X values:,0.241531,0.01996, Max Y values:,1.925227,1.016358, Max Z values:,0.241531,0.01996,,,1.133581
Average X value:,0.105854, Average Y value:,1.537972, Average Z value:,0.335195, Max X values:,0.241531,0.01996, Max Y values:,1.925227,1.058475, Max Z values:,0.241531,0.01996,,,1.133481
Average X value:,0.097754, Average Y value:,1.55803, Average Z value:,0.327132, Max X values:,0.241531,0.01996, Max Y values:,1.925227,1.089971, Max Z values:,0.241531,0.01996,,,1.131694
Average X value:,0.08753, Average Y value:,1.566386, Average Z value:,0.316322, Max X values:,0.24031,0.01996, Max Y values:,1.925227,1.108771, Max Z values:,0.24031,0.01996,,,1.128956
Average X value:,0.074828, Average Y value:,1.558304, Average Z value:,0.305866, Max X values:,0.218824,-0.013734, Max Y values:,1.925227,0.94714, Max Z values:,0.218824,-0.013734,,,1.124993
Average X value:,0.063389, Average Y value:,1.537173, Average Z value:,0.296832, Max X values:,0.182079,-0.013734, Max Y values:,1.925227,0.701886, Max Z values:,0.182079,-0.013734,,,1.119486
Average X value:,0.051871, Average Y value:,1.503241, Average Z value:,0.28803, Max X values:,0.13276,-0.048282, Max Y values:,1.925227,0.500458, Max Z values:,0.13276,-0.048282,,,1.112271
Average X value:,0.03763, Average Y value:,1.45394, Average Z value:,0.275652, Max X values:,0.105536,-0.152048, Max Y values:,1.925227,0.276689, Max Z values:,0.105536,-0.152048,,,1.102749
Average X value:,0.023067, Average Y value:,1.393976, Average Z value:,0.261668, Max X values:,0.105536,-0.205884, Max Y values:,1.925227,0.13984, Max Z values:,0.105536,-0.205884,,,1.09112
Average X value:,0.009937, Average Y value:,1.319435, Average Z value:,0.250491, Max X values:,0.105536,-0.208326, Max Y values:,1.925227,-0.076482, Max Z values:,0.105536,-0.208326,,,1.077931
Average X value:,-0.001795, Average Y value:,1.232418, Average Z value:,0.241262, Max X values:,0.105536,-0.208326, Max Y values:,1.925227,-0.241775, Max Z values:,0.105536,-0.208326,,,1.063046
Average X value:,-0.009253, Average Y value:,1.13934, Average Z value:,0.22759, Max X values:,0.105536,-0.208326, Max Y values:,1.925227,-0.279497, Max Z values:,0.105536,-0.208326,,,1.046465
Average X value:,-0.017738, Average Y value:,1.041506, Average Z value:,0.21034, Max X values:,0.105536,-0.208326, Max Y values:,1.925227,-0.292559, Max Z values:,0.105536,-0.208326,,,1.028582
Average X value:,-0.027998, Average Y value:,0.940835, Average Z value:,0.1906, Max X values:,0.105536,-0.208326, Max Y values:,1.925227,-0.292559, Max Z values:,0.105536,-0.208326,,,1.009417
Average X value:,-0.03691, Average Y value:,0.835641, Average Z value:,0.168937, Max X values:,0.105536,-0.208326, Max Y values:,1.925227,-0.292559, Max Z values:,0.105536,-0.208326,,,0.98887
Average X value:,-0.041537, Average Y value:,0.72729, Average Z value:,0.149765, Max X values:,0.105536,-0.208326, Max Y values:,1.925227,-0.292559, Max Z values:,0.105536,-0.208326,,,0.968464
Average X value:,-0.044552, Average Y value:,0.620778, Average Z value:,0.132576, Max X values:,0.105536,-0.208326, Max Y values:,1.910944,-0.292559, Max Z values:,0.105536,-0.208326,,,0.948674
Average X value:,-0.049594, Average Y value:,0.518837, Average Z value:,0.112202, Max X values:,0.105536,-0.208326, Max Y values:,1.908625,-0.292559, Max Z values:,0.105536,-0.208326,,,0.929985
Average X value:,-0.056101, Average Y value:,0.422902, Average Z value:,0.091772, Max X values:,0.075383,-0.208326, Max Y values:,1.842215,-0.292559, Max Z values:,0.075383,-0.208326,,,0.912921
Average X value:,-0.060416, Average Y value:,0.337606, Average Z value:,0.073534, Max X values:,0.075383,-0.208326, Max Y values:,1.757981,-0.292559, Max Z values:,0.075383,-0.208326,,,0.898395
Average X value:,-0.063944, Average Y value:,0.266014, Average Z value:,0.062785, Max X values:,0.075261,-0.208326, Max Y values:,1.62516,-0.292559, Max Z values:,0.075261,-0.208326,,,0.886067
Average X value:,-0.068052, Average Y value:,0.211072, Average Z value:,0.06508, Max X values:,0.059269,-0.208326, Max Y values:,1.459623,-0.292559, Max Z values:,0.059269,-0.208326,,,0.876681
Average X value:,-0.074126, Average Y value:,0.175285, Average Z value:,0.076781, Max X values:,0.037051,-0.208326, Max Y values:,1.257096,-0.292559, Max Z values:,0.037051,-0.208326,,,0.870416
Average X value:,-0.074138, Average Y value:,0.163755, Average Z value:,0.092932, Max X values:,0.036806,-0.208326, Max Y values:,1.026491,-0.292559, Max Z values:,0.036806,-0.208326,,,0.866409
Average X value:,-0.066709, Average Y value:,0.181408, Average Z value:,0.108576, Max X values:,0.134835,-0.208326, Max Y values:,1.300189,-0.292559, Max Z values:,0.134835,-0.208326,,,0.864901
Average X value:,-0.059305, Average Y value:,0.222218, Average Z value:,0.123237, Max X values:,0.138131,-0.208326, Max Y values:,1.518098,-0.292559, Max Z values:,0.138131,-0.208326,,,0.865723
