You entered a buffer length of 20,x_20,,y_20_sideways,,z_20_sideways,,,,,,,,,,,x_100
Average X value:,0.520857, Average Y value:,0.988354, Average Z value:,0.229592, Max X values:,0.612769,0.290362, Max Y values:,1.037112,0.926509, Max Z values:,0.612769,0.290362,,-0.073324
Average X value:,0.530837, Average Y value:,0.990441, Average Z value:,0.22856, Max X values:,0.612769,0.354819, Max Y values:,1.037112,0.949704, Max Z values:,0.612769,0.354819,,-0.0631
Average X value:,0.537972, Average Y value:,0.988158, Average Z value:,0.2269, Max X values:,0.612769,0.406946, Max Y values:,1.037112,0.949704, Max Z values:,0.612769,0.406946,,-0.052323
Average X value:,0.543081, Average Y value:,0.989721, Average Z value:,0.225819, Max X values:,0.612769,0.449551, Max Y values:,1.037112,0.949704, Max Z values:,0.612769,0.449551,,-0.041411
Average X value:,0.54537, Average Y value:,0.993261, Average Z value:,0.222145, Max X values:,0.612769,0.455411, Max Y values:,1.037112,0.949704, Max Z values:,0.612769,0.455411,,-0.03105
Average X value:,0.543741, Average Y value:,0.994525, Average Z value:,0.218373, Max X values:,0.612769,0.453458, Max Y values:,1.037112,0.949704, Max Z values:,0.612769,0.453458,,-0.022172
Average X value:,0.539199, Average Y value:,0.993597, Average Z value:,0.212928, Max X values:,0.612769,0.416346, Max Y values:,1.037112,0.949704, Max Z values:,0.612769,0.416346,,-0.014246
Average X value:,0.53152, Average Y value:,0.99284, Average Z value:,0.207282, Max X values:,0.612769,0.381798, Max Y values:,1.037112,0.949704, Max Z values:,0.612769,0.381798,,-0.006852
Average X value:,0.519087, Average Y value:,0.995386, Average Z value:,0.205646, Max X values:,0.612769,0.30611, Max Y values:,1.037112,0.949704, Max Z values:,0.612769,0.30611,,-0.000104
Average X value:,0.500397, Average Y value:,0.994708, Average Z value:,0.207367, Max X values:,0.612769,0.206739, Max Y values:,1.037112,0.936153, Max Z values:,0.612769,0.206739,,0.006466
Average X value:,0.476085, Average Y value:,0.994659, Average Z value:,0.211274, Max X values:,0.612769,0.109565, Max Y values:,1.037112,0.936153, Max Z values:,0.612769,0.109565,,0.012763
Average X value:,0.444925, Average Y value:,0.990802, Average Z value:,0.214283, Max X values:,0.612769,-0.020692, Max Y values:,1.037112,0.936153, Max Z values:,0.612769,-0.020692,,0.018907
Average X value:,0.407166, Average Y value:,0.991418, Average Z value:,0.218733, Max X values:,0.612769,-0.153757, Max Y values:,1.037112,0.936153, Max Z values:,0.612769,-0.153757,,0.025164
Average X value:,0.361344, Average Y value:,0.99201, Average Z value:,0.221919, Max X values:,0.612769,-0.306476, Max Y values:,1.037112,0.936153, Max Z values:,0.612769,-0.306476,,0.031339
Average X value:,0.306983, Average Y value:,0.993573, Average Z value:,0.224196, Max X values:,0.605323,-0.474455, Max Y values:,1.037112,0.936153, Max Z values:,0.605323,-0.474455,,0.036908
Average X value:,0.243832, Average Y value:,0.991229, Average Z value:,0.223768, Max X values:,0.586889,-0.657694, Max Y values:,1.037112,0.936153, Max Z values:,0.586889,-0.657694,,0.041714
Average X value:,0.176305, Average Y value:,0.991259, Average Z value:,0.221437, Max X values:,0.565159,-0.763657, Max Y values:,1.037112,0.936153, Max Z values:,0.565159,-0.763657,,0.045791
Average X value:,0.104077, Average Y value:,0.991876, Average Z value:,0.214271, Max X values:,0.526338,-0.879387, Max Y values:,1.037112,0.936153, Max Z values:,0.526338,-0.879387,,0.04888
Average X value:,0.042056, Average Y value:,0.993676, Average Z value:,0.202484, Max X values:,0.509125,-0.879387, Max Y values:,1.037112,0.936153, Max Z values:,0.509125,-0.879387,,0.050827
