You entered a buffer length of 100,x_100,y,y_100_long,,z_100_long,,,,,,,,,,,x_20
Average X value:,-0.001188, Average Y value:,0.984701, Average Z value:,0.215217, Max X values:,0.001282,-0.003968, Max Y values:,0.992553,0.975462, Max Z values:,0.001282,-0.003968,,-0.000665
Average X value:,-0.001231, Average Y value:,0.984324, Average Z value:,0.21511, Max X values:,0.001282,-0.003968, Max Y values:,0.992553,0.954343, Max Z values:,0.001282,-0.003968,,-0.000714
Average X value:,-0.00119, Average Y value:,0.984983, Average Z value:,0.215206, Max X values:,0.001892,-0.003968, Max Y values:,1.0564,0.954343, Max Z values:,0.001892,-0.003968,,-0.00083
Average X value:,-0.001167, Average Y value:,0.984898, Average Z value:,0.215266, Max X values:,0.001892,-0.003968, Max Y values:,1.0564,0.954343, Max Z values:,0.001892,-0.003968,,-0.000873
Average X value:,-0.001196, Average Y value:,0.984817, Average Z value:,0.215222, Max X values:,0.001892,-0.003968, Max Y values:,1.0564,0.954343, Max Z values:,0.001892,-0.003968,,-0.000952
Average X value:,-0.001185, Average Y value:,0.984899, Average Z value:,0.215227, Max X values:,0.001892,-0.003968, Max Y values:,1.0564,0.954343, Max Z values:,0.001892,-0.003968,,-0.001087
Average X value:,-0.001165, Average Y value:,0.984824, Average Z value:,0.215223, Max X values:,0.001892,-0.003968, Max Y values:,1.0564,0.954343, Max Z values:,0.001892,-0.003968,,-0.001044
Average X value:,-0.001188, Average Y value:,0.984951, Average Z value:,0.215213, Max X values:,0.001892,-0.004334, Max Y values:,1.0564,0.954343, Max Z values:,0.001892,-0.004334,,-0.00119
Average X value:,-0.001204, Average Y value:,0.984811, Average Z value:,0.215172, Max X values:,0.001892,-0.004334, Max Y values:,1.0564,0.954343, Max Z values:,0.001892,-0.004334,,-0.001172
Average X value:,-0.001205, Average Y value:,0.984886, Average Z value:,0.215152, Max X values:,0.001892,-0.004334, Max Y values:,1.0564,0.954343, Max Z values:,0.001892,-0.004334,,-0.00108
Average X value:,-0.001222, Average Y value:,0.984932, Average Z value:,0.215168, Max X values:,0.001892,-0.004334, Max Y values:,1.0564,0.954343, Max Z values:,0.001892,-0.004334,,-0.00108
Average X value:,-0.00125, Average Y value:,0.984927, Average Z value:,0.215182, Max X values:,0.001892,-0.004334, Max Y values:,1.0564,0.954343, Max Z values:,0.001892,-0.004334,,-0.001038
Average X value:,-0.001223, Average Y value:,0.984939, Average Z value:,0.215189, Max X values:,0.001892,-0.004334, Max Y values:,1.0564,0.954343, Max Z values:,0.001892,-0.004334,,-0.001025
Average X value:,-0.001235, Average Y value:,0.984851, Average Z value:,0.215194, Max X values:,0.001892,-0.004456, Max Y values:,1.0564,0.954343, Max Z values:,0.001892,-0.004456,,-0.001117
Average X value:,-0.001233, Average Y value:,0.984882, Average Z value:,0.215196, Max X values:,0.001892,-0.004456, Max Y values:,1.0564,0.954343, Max Z values:,0.001892,-0.004456,,-0.001129
Average X value:,-0.001193, Average Y value:,0.984905, Average Z value:,0.215219, Max X values:,0.001892,-0.004456, Max Y values:,1.0564,0.954343, Max Z values:,0.001892,-0.004456,,-0.00116
Average X value:,-0.00119, Average Y value:,0.984945, Average Z value:,0.215263, Max X values:,0.001892,-0.004456, Max Y values:,1.0564,0.954343, Max Z values:,0.001892,-0.004456,,-0.00119
Average X value:,-0.00119, Average Y value:,0.984875, Average Z value:,0.215228, Max X values:,0.001892,-0.004456, Max Y values:,1.0564,0.954343, Max Z values:,0.001892,-0.004456,,-0.001312
Average X value:,-0.001166, Average Y value:,0.98484, Average Z value:,0.21523, Max X values:,0.001892,-0.004456, Max Y values:,1.0564,0.954343, Max Z values:,0.001892,-0.004456,,-0.001203
Average X value:,-0.001166, Average Y value:,0.984828, Average Z value:,0.215235, Max X values:,0.001892,-0.004456, Max Y values:,1.0564,0.954343, Max Z values:,0.001892,-0.004456,,-0.001135
Average X value:,-0.001157, Average Y value:,0.984793, Average Z value:,0.215238, Max X values:,0.001892,-0.004456, Max Y values:,1.0564,0.954343, Max Z values:,0.001892,-0.004456,,-0.001068
Average X value:,-0.001154, Average Y value:,0.98492, Average Z value:,0.215227, Max X values:,0.001892,-0.004456, Max Y values:,1.0564,0.954343, Max Z values:,0.001892,-0.004456,,-0.001129
Average X value:,-0.001152, Average Y value:,0.984921, Average Z value:,0.215239, Max X values:,0.001892,-0.004456, Max Y values:,1.0564,0.954343, Max Z values:,0.001892,-0.004456,,-0.001062
Average X value:,-0.00117, Average Y value:,0.984905, Average Z value:,0.215224, Max X values:,0.001892,-0.004456, Max Y values:,1.0564,0.954343, Max Z values:,0.001892,-0.004456,,-0.001032
Average X value:,-0.001149, Average Y value:,0.984881, Average Z value:,0.215213, Max X values:,0.001892,-0.004456, Max Y values:,1.0564,0.954343, Max Z values:,0.001892,-0.004456,,-0.001001
Average X value:,-0.00114, Average Y value:,0.984906, Average Z value:,0.215216, Max X values:,0.001892,-0.004456, Max Y values:,1.0564,0.954343, Max Z values:,0.001892,-0.004456,,-0.000946
Average X value:,-0.001141, Average Y value:,0.984862, Average Z value:,0.215232, Max X values:,0.001892,-0.004456, Max Y values:,1.0564,0.954343, Max Z values:,0.001892,-0.004456,,-0.000971
Average X value:,-0.001148, Average Y value:,0.984887, Average Z value:,0.215223, Max X values:,0.001892,-0.004456, Max Y values:,1.0564,0.954343, Max Z values:,0.001892,-0.004456,,-0.000855
Average X value:,-0.001135, Average Y value:,0.984937, Average Z value:,0.215251, Max X values:,0.001892,-0.004456, Max Y values:,1.0564,0.954343, Max Z values:,0.001892,-0.004456,,-0.000946
Average X value:,-0.001167, Average Y value:,0.984882, Average Z value:,0.215217, Max X values:,0.001892,-0.004456, Max Y values:,1.0564,0.954343, Max Z values:,0.001892,-0.004456,,-0.001154
Average X value:,-0.001165, Average Y value:,0.984898, Average Z value:,0.215224, Max X values:,0.001892,-0.004456, Max Y values:,1.0564,0.954343, Max Z values:,0.001892,-0.004456,,-0.001105
Average X value:,-0.001149, Average Y value:,0.984931, Average Z value:,0.215235, Max X values:,0.001892,-0.004456, Max Y values:,1.0564,0.954343, Max Z values:,0.001892,-0.004456,,-0.001221
Average X value:,-0.00117, Average Y value:,0.984914, Average Z value:,0.21523, Max X values:,0.001892,-0.004456, Max Y values:,1.0564,0.954343, Max Z values:,0.001892,-0.004456,,-0.00119
Average X value:,-0.001167, Average Y value:,0.984904, Average Z value:,0.215243, Max X values:,0.001892,-0.004456, Max Y values:,1.0564,0.954343, Max Z values:,0.001892,-0.004456,,-0.001087
Average X value:,-0.001157, Average Y value:,0.984904, Average Z value:,0.215222, Max X values:,0.001892,-0.004456, Max Y values:,1.0564,0.954343, Max Z values:,0.001892,-0.004456,,-0.00105
Average X value:,-0.001151, Average Y value:,0.984893, Average Z value:,0.215213, Max X values:,0.001892,-0.004456, Max Y values:,1.0564,0.954343, Max Z values:,0.001892,-0.004456,,-0.001013
Average X value:,-0.001146, Average Y value:,0.984915, Average Z value:,0.215244, Max X values:,0.001892,-0.004456, Max Y values:,1.0564,0.954343, Max Z values:,0.001892,-0.004456,,-0.001001
Average X value:,-0.001151, Average Y value:,0.984925, Average Z value:,0.215279, Max X values:,0.001892,-0.004456, Max Y values:,1.0564,0.954343, Max Z values:,0.001892,-0.004456,,-0.000983
Average X value:,-0.001143, Average Y value:,0.98494, Average Z value:,0.215277, Max X values:,0.001892,-0.004456, Max Y values:,1.0564,0.954343, Max Z values:,0.001892,-0.004456,,-0.001056
Average X value:,-0.001146, Average Y value:,0.984945, Average Z value:,0.215263, Max X values:,0.001892,-0.004456, Max Y values:,1.0564,0.954343, Max Z values:,0.001892,-0.004456,,-0.001148
Average X value:,-0.001167, Average Y value:,0.984927, Average Z value:,0.215276, Max X values:,0.001892,-0.004456, Max Y values:,1.0564,0.954343, Max Z values:,0.001892,-0.004456,,-0.001196
Average X value:,-0.001177, Average Y value:,0.984939, Average Z value:,0.215245, Max X values:,0.001892,-0.004456, Max Y values:,1.0564,0.954343, Max Z values:,0.001892,-0.004456,,-0.00116
Average X value:,-0.001167, Average Y value:,0.984932, Average Z value:,0.21524, Max X values:,0.001892,-0.004456, Max Y values:,1.0564,0.954343, Max Z values:,0.001892,-0.004456,,-0.001215
Average X value:,-0.001177, Average Y value:,0.984931, Average Z value:,0.215249, Max X values:,0.001892,-0.004456, Max Y values:,1.0564,0.954343, Max Z values:,0.001892,-0.004456,,-0.001306
Average X value:,-0.001154, Average Y value:,0.984956, Average Z value:,0.215263, Max X values:,0.001892,-0.004456, Max Y values:,1.0564,0.954343, Max Z values:,0.001892,-0.004456,,-0.001239
Average X value:,-0.001166, Average Y value:,0.984964, Average Z value:,0.215266, Max X values:,0.001892,-0.004456, Max Y values:,1.0564,0.954343, Max Z values:,0.001892,-0.004456,,-0.001227
Average X value:,-0.001168, Average Y value:,0.984972, Average Z value:,0.215263, Max X values:,0.001892,-0.004456, Max Y values:,1.0564,0.954343, Max Z values:,0.001892,-0.004456,,-0.00119
Average X value:,-0.001188, Average Y value:,0.985002, Average Z value:,0.21526, Max X values:,0.001892,-0.004456, Max Y values:,1.0564,0.954343, Max Z values:,0.001892,-0.004456,,-0.001276
Average X value:,-0.001207, Average Y value:,0.984998, Average Z value:,0.215245, Max X values:,0.001892,-0.004456, Max Y values:,1.0564,0.954343, Max Z values:,0.001892,-0.004456,,-0.001257
Average X value:,-0.001221, Average Y value:,0.984997, Average Z value:,0.215267, Max X values:,0.001892,-0.004456, Max Y values:,1.0564,0.954343, Max Z values:,0.001892,-0.004456,,-0.001062
Average X value:,-0.001207, Average Y value:,0.985022, Average Z value:,0.215254, Max X values:,0.001892,-0.004456, Max Y values:,1.0564,0.954343, Max Z values:,0.001892,-0.004456,,-0.001154
Average X value:,-0.001226, Average Y value:,0.985022, Average Z value:,0.215235, Max X values:,0.001892,-0.004456, Max Y values:,1.0564,0.954343, Max Z values:,0.001892,-0.004456,,-0.001087
Average X value:,-0.001255, Average Y value:,0.985031, Average Z value:,0.215224, Max X values:,0.001892,-0.004456, Max Y values:,1.0564,0.954343, Max Z values:,0.001892,-0.004456,,-0.001148
Average X value:,-0.001242, Average Y value:,0.985028, Average Z value:,0.215216, Max X values:,0.001892,-0.004456, Max Y values:,1.0564,0.954343, Max Z values:,0.001892,-0.004456,,-0.001233
Average X value:,-0.001235, Average Y value:,0.985036, Average Z value:,0.215199, Max X values:,0.001892,-0.004456, Max Y values:,1.0564,0.954343, Max Z values:,0.001892,-0.004456,,-0.001178
Average X value:,-0.001251, Average Y value:,0.985067, Average Z value:,0.215201, Max X values:,0.001892,-0.004456, Max Y values:,1.0564,0.954343, Max Z values:,0.001892,-0.004456,,-0.001221
Average X value:,-0.00125, Average Y value:,0.985069, Average Z value:,0.215202, Max X values:,0.001892,-0.004456, Max Y values:,1.0564,0.954343, Max Z values:,0.001892,-0.004456,,-0.001251
Average X value:,-0.001273, Average Y value:,0.98505, Average Z value:,0.215179, Max X values:,0.001892,-0.00531, Max Y values:,1.0564,0.954343, Max Z values:,0.001892,-0.00531,,-0.001404
Average X value:,-0.001272, Average Y value:,0.985069, Average Z value:,0.215185, Max X values:,0.001892,-0.00531, Max Y values:,1.0564,0.954343, Max Z values:,0.001892,-0.00531,,-0.001428
Average X value:,-0.001271, Average Y value:,0.98507, Average Z value:,0.215193, Max X values:,0.001892,-0.00531, Max Y values:,1.0564,0.954343, Max Z values:,0.001892,-0.00531,,-0.001416
Average X value:,-0.00125, Average Y value:,0.985067, Average Z value:,0.215201, Max X values:,0.001892,-0.00531, Max Y values:,1.0564,0.954343, Max Z values:,0.001892,-0.00531,,-0.001227
Average X value:,-0.001267, Average Y value:,0.98506, Average Z value:,0.215218, Max X values:,0.001892,-0.00531, Max Y values:,1.0564,0.954343, Max Z values:,0.001892,-0.00531,,-0.00119
Average X value:,-0.001264, Average Y value:,0.985038, Average Z value:,0.215233, Max X values:,0.001892,-0.00531, Max Y values:,1.0564,0.954343, Max Z values:,0.001892,-0.00531,,-0.001178
Average X value:,-0.001283, Average Y value:,0.985039, Average Z value:,0.215235, Max X values:,0.001892,-0.00531, Max Y values:,1.0564,0.954343, Max Z values:,0.001892,-0.00531,,-0.001129
Average X value:,-0.001281, Average Y value:,0.985054, Average Z value:,0.215252, Max X values:,0.001892,-0.00531, Max Y values:,1.0564,0.954343, Max Z values:,0.001892,-0.00531,,-0.001056
Average X value:,-0.001257, Average Y value:,0.985034, Average Z value:,0.215268, Max X values:,0.001892,-0.00531, Max Y values:,1.0564,0.954343, Max Z values:,0.001892,-0.00531,,-0.00108
Average X value:,-0.001249, Average Y value:,0.985031, Average Z value:,0.215284, Max X values:,0.001892,-0.00531, Max Y values:,1.0564,0.954343, Max Z values:,0.001892,-0.00531,,-0.001166
Average X value:,-0.001254, Average Y value:,0.985036, Average Z value:,0.215284, Max X values:,0.001892,-0.00531, Max Y values:,1.0564,0.954343, Max Z values:,0.001892,-0.00531,,-0.001117
Average X value:,-0.001224, Average Y value:,0.985023, Average Z value:,0.21529, Max X values:,0.001892,-0.00531, Max Y values:,1.0564,0.954343, Max Z values:,0.001892,-0.00531,,-0.001117
Average X value:,-0.001234, Average Y value:,0.985021, Average Z value:,0.215272, Max X values:,0.001892,-0.00531, Max Y values:,1.0564,0.954343, Max Z values:,0.001892,-0.00531,,-0.001129
Average X value:,-0.001227, Average Y value:,0.985013, Average Z value:,0.215232, Max X values:,0.001892,-0.00531, Max Y values:,1.0564,0.954343, Max Z values:,0.001892,-0.00531,,-0.001123
Average X value:,-0.001231, Average Y value:,0.984987, Average Z value:,0.215204, Max X values:,0.001892,-0.00531, Max Y values:,1.0564,0.954343, Max Z values:,0.001892,-0.00531,,-0.001166
Average X value:,-0.00122, Average Y value:,0.984995, Average Z value:,0.215226, Max X values:,0.001892,-0.00531, Max Y values:,1.0564,0.954343, Max Z values:,0.001892,-0.00531,,-0.001087
Average X value:,-0.001228, Average Y value:,0.984984, Average Z value:,0.215226, Max X values:,0.001892,-0.00531, Max Y values:,1.0564,0.954343, Max Z values:,0.001892,-0.00531,,-0.001026
Average X value:,-0.001222, Average Y value:,0.984998, Average Z value:,0.215254, Max X values:,0.001892,-0.00531, Max Y values:,1.0564,0.954343, Max Z values:,0.001892,-0.00531,,-0.001117
Average X value:,-0.001206, Average Y value:,0.985097, Average Z value:,0.215251, Max X values:,0.001892,-0.00531, Max Y values:,1.0564,0.954343, Max Z values:,0.001892,-0.00531,,-0.001007
Average X value:,-0.001194, Average Y value:,0.98518, Average Z value:,0.21525, Max X values:,0.001892,-0.00531, Max Y values:,1.0564,0.954343, Max Z values:,0.001892,-0.00531,,-0.000946
Average X value:,-0.001173, Average Y value:,0.985067, Average Z value:,0.215265, Max X values:,0.001892,-0.00531, Max Y values:,1.0564,0.954343, Max Z values:,0.001892,-0.00531,,-0.000702
Average X value:,-0.001195, Average Y value:,0.985083, Average Z value:,0.215284, Max X values:,0.001892,-0.00531, Max Y values:,1.0564,0.954343, Max Z values:,0.001892,-0.00531,,-0.000537
Average X value:,-0.001194, Average Y value:,0.985115, Average Z value:,0.215287, Max X values:,0.001892,-0.00531, Max Y values:,1.0564,0.954343, Max Z values:,0.001892,-0.00531,,-0.000501
Average X value:,-0.001207, Average Y value:,0.985076, Average Z value:,0.215273, Max X values:,0.001892,-0.00531, Max Y values:,1.0564,0.954343, Max Z values:,0.001892,-0.00531,,-0.000592
Average X value:,-0.001231, Average Y value:,0.985059, Average Z value:,0.215267, Max X values:,0.001892,-0.00531, Max Y values:,1.0564,0.954343, Max Z values:,0.001892,-0.00531,,-0.000629
Average X value:,-0.001218, Average Y value:,0.985064, Average Z value:,0.21526, Max X values:,0.001892,-0.00531, Max Y values:,1.0564,0.954343, Max Z values:,0.001892,-0.00531,,-0.000677
Average X value:,-0.001218, Average Y value:,0.985105, Average Z value:,0.215271, Max X values:,0.001892,-0.00531, Max Y values:,1.0564,0.954343, Max Z values:,0.001892,-0.00531,,-0.000671
Average X value:,-0.001232, Average Y value:,0.985133, Average Z value:,0.215271, Max X values:,0.001892,-0.00531, Max Y values:,1.0564,0.954343, Max Z values:,0.001892,-0.00531,,-0.000726
Average X value:,-0.001223, Average Y value:,0.985117, Average Z value:,0.215249, Max X values:,0.001892,-0.00531, Max Y values:,1.0564,0.954343, Max Z values:,0.001892,-0.00531,,-0.000604
Average X value:,-0.001204, Average Y value:,0.985098, Average Z value:,0.215249, Max X values:,0.001892,-0.00531, Max Y values:,1.0564,0.954343, Max Z values:,0.001892,-0.00531,,-0.000592
Average X value:,-0.001224, Average Y value:,0.985067, Average Z value:,0.215273, Max X values:,0.001892,-0.00531, Max Y values:,1.0564,0.954343, Max Z values:,0.001892,-0.00531,,-0.000574
Average X value:,-0.001232, Average Y value:,0.985088, Average Z value:,0.215276, Max X values:,0.001892,-0.00531, Max Y values:,1.0564,0.954343, Max Z values:,0.001892,-0.00531,,-0.000598
Average X value:,-0.001218, Average Y value:,0.985082, Average Z value:,0.215295, Max X values:,0.001892,-0.00531, Max Y values:,1.0564,0.954343, Max Z values:,0.001892,-0.00531,,-0.00069
Average X value:,-0.001216, Average Y value:,0.985056, Average Z value:,0.215293, Max X values:,0.001892,-0.00531, Max Y values:,1.0564,0.954343, Max Z values:,0.001892,-0.00531,,-0.00061
Average X value:,-0.001212, Average Y value:,0.985097, Average Z value:,0.215318, Max X values:,0.001892,-0.00531, Max Y values:,1.0564,0.954343, Max Z values:,0.001892,-0.00531,,-0.000568
Average X value:,-0.001198, Average Y value:,0.985082, Average Z value:,0.215316, Max X values:,0.001892,-0.00531, Max Y values:,1.0564,0.954343, Max Z values:,0.001892,-0.00531,,-0.00058
Average X value:,-0.001206, Average Y value:,0.985066, Average Z value:,0.215309, Max X values:,0.001892,-0.00531, Max Y values:,1.0564,0.954343, Max Z values:,0.001892,-0.00531,,-0.000647
Average X value:,-0.001205, Average Y value:,0.98505, Average Z value:,0.215327, Max X values:,0.001892,-0.00531, Max Y values:,1.0564,0.954343, Max Z values:,0.001892,-0.00531,,-0.00058
Average X value:,-0.001206, Average Y value:,0.985054, Average Z value:,0.215287, Max X values:,0.001892,-0.00531, Max Y values:,1.0564,0.954343, Max Z values:,0.001892,-0.00531,,-0.000708
Average X value:,-0.00121, Average Y value:,0.985081, Average Z value:,0.215283, Max X values:,0.001892,-0.00531, Max Y values:,1.0564,0.954343, Max Z values:,0.001892,-0.00531,,-0.000757
Average X value:,-0.001226, Average Y value:,0.985047, Average Z value:,0.215294, Max X values:,0.001892,-0.00531, Max Y values:,1.0564,0.954343, Max Z values:,0.001892,-0.00531,,-0.000891
Average X value:,-0.001228, Average Y value:,0.985066, Average Z value:,0.215273, Max X values:,0.001892,-0.00531, Max Y values:,1.0564,0.954343, Max Z values:,0.001892,-0.00531,,-0.001013
Average X value:,-0.001229, Average Y value:,0.985037, Average Z value:,0.215254, Max X values:,0.001892,-0.00531, Max Y values:,1.0564,0.954343, Max Z values:,0.001892,-0.00531,,-0.001068
Average X value:,-0.001233, Average Y value:,0.985099, Average Z value:,0.215252, Max X values:,0.001892,-0.00531, Max Y values:,1.0564,0.954343, Max Z values:,0.001892,-0.00531,,-0.001068
Average X value:,-0.001221, Average Y value:,0.985423, Average Z value:,0.215338, Max X values:,0.001892,-0.00531, Max Y values:,1.0564,0.969603, Max Z values:,0.001892,-0.00531,,-0.001044
Average X value:,-0.001254, Average Y value:,0.98471, Average Z value:,0.215233, Max X values:,0.001526,-0.00531, Max Y values:,1.002686,0.969603, Max Z values:,0.001526,-0.00531,,-0.001007
Average X value:,-0.001303, Average Y value:,0.984804, Average Z value:,0.215177, Max X values:,0.001526,-0.00531, Max Y values:,1.002686,0.969603, Max Z values:,0.001526,-0.00531,,-0.001007
Average X value:,-0.001287, Average Y value:,0.984964, Average Z value:,0.215234, Max X values:,0.001526,-0.00531, Max Y values:,1.002686,0.970701, Max Z values:,0.001526,-0.00531,,-0.000989
Average X value:,-0.001332, Average Y value:,0.984886, Average Z value:,0.215229, Max X values:,0.000916,-0.00531, Max Y values:,1.002686,0.970701, Max Z values:,0.000916,-0.00531,,-0.001123
Average X value:,-0.001322, Average Y value:,0.984917, Average Z value:,0.215206, Max X values:,0.000916,-0.00531, Max Y values:,1.002686,0.970701, Max Z values:,0.000916,-0.00531,,-0.001154
Average X value:,-0.001292, Average Y value:,0.98474, Average Z value:,0.215189, Max X values:,0.000916,-0.00531, Max Y values:,0.990356,0.970701, Max Z values:,0.000916,-0.00531,,-0.001154
Average X value:,-0.001284, Average Y value:,0.984872, Average Z value:,0.215224, Max X values:,0.000916,-0.00531, Max Y values:,0.990356,0.97766, Max Z values:,0.000916,-0.00531,,-0.001038
Average X value:,-0.001284, Average Y value:,0.984851, Average Z value:,0.215227, Max X values:,0.000916,-0.00531, Max Y values:,0.990356,0.97766, Max Z values:,0.000916,-0.00531,,-0.000922
Average X value:,-0.001256, Average Y value:,0.98481, Average Z value:,0.215217, Max X values:,0.000916,-0.00531, Max Y values:,0.990356,0.97766, Max Z values:,0.000916,-0.00531,,-0.000946
Average X value:,-0.001261, Average Y value:,0.98482, Average Z value:,0.215211, Max X values:,0.000916,-0.00531, Max Y values:,0.990356,0.97766, Max Z values:,0.000916,-0.00531,,-0.000867
Average X value:,-0.001268, Average Y value:,0.98476, Average Z value:,0.215166, Max X values:,0.000916,-0.00531, Max Y values:,0.990356,0.97766, Max Z values:,0.000916,-0.00531,,-0.000885
Average X value:,-0.001237, Average Y value:,0.984836, Average Z value:,0.215163, Max X values:,0.000916,-0.00531, Max Y values:,0.990356,0.97827, Max Z values:,0.000916,-0.00531,,-0.000885
Average X value:,-0.00124, Average Y value:,0.984806, Average Z value:,0.215177, Max X values:,0.000916,-0.00531, Max Y values:,0.990356,0.97827, Max Z values:,0.000916,-0.00531,,-0.001019
Average X value:,-0.001272, Average Y value:,0.984801, Average Z value:,0.215158, Max X values:,0.000916,-0.00531, Max Y values:,0.990356,0.97827, Max Z values:,0.000916,-0.00531,,-0.000891
Average X value:,-0.001257, Average Y value:,0.984778, Average Z value:,0.215157, Max X values:,0.000916,-0.00531, Max Y values:,0.990356,0.97827, Max Z values:,0.000916,-0.00531,,-0.000964
Average X value:,-0.001264, Average Y value:,0.98485, Average Z value:,0.215194, Max X values:,0.000916,-0.00531, Max Y values:,0.990356,0.979613, Max Z values:,0.000916,-0.00531,,-0.000916
Average X value:,-0.001292, Average Y value:,0.984804, Average Z value:,0.215202, Max X values:,0.000916,-0.00531, Max Y values:,0.990356,0.979613, Max Z values:,0.000916,-0.00531,,-0.000885
