You entered a buffer length of 20,x,,y_20_static,,z_20_static,,,,,,,,,
Average X value:,-0.000665, Average Y value:,0.985082, Average Z value:,0.214759, Max X values:,0.000916,-0.00238, Max Y values:,0.9906,0.979735, Max Z values:,0.000916,-0.00238
Average X value:,-0.000714, Average Y value:,0.984923, Average Z value:,0.21479, Max X values:,0.000916,-0.00238, Max Y values:,0.9906,0.979735, Max Z values:,0.000916,-0.00238
Average X value:,-0.00083, Average Y value:,0.985094, Average Z value:,0.214729, Max X values:,0.000916,-0.00238, Max Y values:,0.9906,0.979735, Max Z values:,0.000916,-0.00238
Average X value:,-0.000873, Average Y value:,0.985344, Average Z value:,0.21468, Max X values:,0.000916,-0.00238, Max Y values:,0.9906,0.979735, Max Z values:,0.000916,-0.00238
Average X value:,-0.000952, Average Y value:,0.985473, Average Z value:,0.214686, Max X values:,0.000916,-0.002503, Max Y values:,0.9906,0.979735, Max Z values:,0.000916,-0.002503
Average X value:,-0.001087, Average Y value:,0.98507, Average Z value:,0.214576, Max X values:,0.000916,-0.002503, Max Y values:,0.989501,0.979735, Max Z values:,0.000916,-0.002503
Average X value:,-0.001044, Average Y value:,0.984874, Average Z value:,0.214485, Max X values:,0.000916,-0.002503, Max Y values:,0.989501,0.979735, Max Z values:,0.000916,-0.002503
Average X value:,-0.00119, Average Y value:,0.985149, Average Z value:,0.21443, Max X values:,0.000916,-0.002503, Max Y values:,0.99121,0.979735, Max Z values:,0.000916,-0.002503
Average X value:,-0.001172, Average Y value:,0.985265, Average Z value:,0.214527, Max X values:,0.000916,-0.002503, Max Y values:,0.99121,0.981444, Max Z values:,0.000916,-0.002503
Average X value:,-0.00108, Average Y value:,0.985387, Average Z value:,0.214631, Max X values:,0.000916,-0.002503, Max Y values:,0.99121,0.98181, Max Z values:,0.000916,-0.002503
Average X value:,-0.00108, Average Y value:,0.98546, Average Z value:,0.214619, Max X values:,0.000916,-0.002503, Max Y values:,0.99121,0.98181, Max Z values:,0.000916,-0.002503
Average X value:,-0.001038, Average Y value:,0.98521, Average Z value:,0.214765, Max X values:,0.000916,-0.002503, Max Y values:,0.99121,0.98181, Max Z values:,0.000916,-0.002503
Average X value:,-0.001025, Average Y value:,0.985027, Average Z value:,0.214967, Max X values:,0.000916,-0.002503, Max Y values:,0.99121,0.98181, Max Z values:,0.000916,-0.002503
Average X value:,-0.001117, Average Y value:,0.984948, Average Z value:,0.215058, Max X values:,0.000916,-0.002503, Max Y values:,0.99121,0.98181, Max Z values:,0.000916,-0.002503
Average X value:,-0.001129, Average Y value:,0.984942, Average Z value:,0.21515, Max X values:,0.000916,-0.002503, Max Y values:,0.99121,0.98181, Max Z values:,0.000916,-0.002503
Average X value:,-0.00116, Average Y value:,0.984893, Average Z value:,0.214973, Max X values:,0.000916,-0.002503, Max Y values:,0.99121,0.98181, Max Z values:,0.000916,-0.002503
Average X value:,-0.00119, Average Y value:,0.984838, Average Z value:,0.214912, Max X values:,0.000916,-0.002503, Max Y values:,0.99121,0.98181, Max Z values:,0.000916,-0.002503
Average X value:,-0.001312, Average Y value:,0.984734, Average Z value:,0.214839, Max X values:,0.000549,-0.002503, Max Y values:,0.99121,0.98181, Max Z values:,0.000549,-0.002503
Average X value:,-0.001203, Average Y value:,0.984734, Average Z value:,0.214723, Max X values:,0.000549,-0.002503, Max Y values:,0.99121,0.98181, Max Z values:,0.000549,-0.002503
Average X value:,-0.001135, Average Y value:,0.984844, Average Z value:,0.214839, Max X values:,0.000671,-0.002503, Max Y values:,0.99121,0.98181, Max Z values:,0.000671,-0.002503
Average X value:,-0.001068, Average Y value:,0.985033, Average Z value:,0.214936, Max X values:,0.000671,-0.002503, Max Y values:,0.99121,0.982055, Max Z values:,0.000671,-0.002503
Average X value:,-0.001129, Average Y value:,0.985192, Average Z value:,0.214961, Max X values:,0.000671,-0.002625, Max Y values:,0.99121,0.982055, Max Z values:,0.000671,-0.002625
Average X value:,-0.001062, Average Y value:,0.985113, Average Z value:,0.215003, Max X values:,0.000671,-0.002625, Max Y values:,0.99121,0.982055, Max Z values:,0.000671,-0.002625
Average X value:,-0.001032, Average Y value:,0.985174, Average Z value:,0.214979, Max X values:,0.000671,-0.002625, Max Y values:,0.99121,0.982055, Max Z values:,0.000671,-0.002625
Average X value:,-0.001001, Average Y value:,0.985107, Average Z value:,0.214814, Max X values:,0.000671,-0.002625, Max Y values:,0.99121,0.982055, Max Z values:,0.000671,-0.002625
Average X value:,-0.000946, Average Y value:,0.985216, Average Z value:,0.214851, Max X values:,0.000671,-0.002625, Max Y values:,0.99121,0.982055, Max Z values:,0.000671,-0.002625
Average X value:,-0.000971, Average Y value:,0.985155, Average Z value:,0.214906, Max X values:,0.000671,-0.002625, Max Y values:,0.99121,0.982055, Max Z values:,0.000671,-0.002625
Average X value:,-0.000855, Average Y value:,0.984844, Average Z value:,0.214955, Max X values:,0.000671,-0.002625, Max Y values:,0.986938,0.982055, Max Z values:,0.000671,-0.002625
Average X value:,-0.000946, Average Y value:,0.984936, Average Z value:,0.21504, Max X values:,0.000671,-0.002625, Max Y values:,0.986938,0.983275, Max Z values:,0.000671,-0.002625
Average X value:,-0.001154, Average Y value:,0.984972, Average Z value:,0.214979, Max X values:,0.000671,-0.003968, Max Y values:,0.986938,0.983275, Max Z values:,0.000671,-0.003968
Average X value:,-0.001105, Average Y value:,0.984856, Average Z value:,0.215058, Max X values:,0.000671,-0.003968, Max Y values:,0.986083,0.983275, Max Z values:,0.000671,-0.003968
Average X value:,-0.001221, Average Y value:,0.984997, Average Z value:,0.215003, Max X values:,0.000671,-0.003968, Max Y values:,0.986083,0.98352, Max Z values:,0.000671,-0.003968
Average X value:,-0.00119, Average Y value:,0.984954, Average Z value:,0.214955, Max X values:,0.000671,-0.003968, Max Y values:,0.986083,0.98352, Max Z values:,0.000671,-0.003968
Average X value:,-0.001087, Average Y value:,0.984923, Average Z value:,0.214936, Max X values:,0.000671,-0.003968, Max Y values:,0.986083,0.98352, Max Z values:,0.000671,-0.003968
Average X value:,-0.00105, Average Y value:,0.984984, Average Z value:,0.21479, Max X values:,0.000671,-0.003968, Max Y values:,0.986083,0.98352, Max Z values:,0.000671,-0.003968
Average X value:,-0.001013, Average Y value:,0.985027, Average Z value:,0.214936, Max X values:,0.000671,-0.003968, Max Y values:,0.986083,0.98352, Max Z values:,0.000671,-0.003968
Average X value:,-0.001001, Average Y value:,0.985076, Average Z value:,0.214875, Max X values:,0.000671,-0.003968, Max Y values:,0.986327,0.98352, Max Z values:,0.000671,-0.003968
Average X value:,-0.000983, Average Y value:,0.985027, Average Z value:,0.214778, Max X values:,0.000671,-0.003968, Max Y values:,0.986327,0.98352, Max Z values:,0.000671,-0.003968
Average X value:,-0.001056, Average Y value:,0.98499, Average Z value:,0.214784, Max X values:,0.000671,-0.003968, Max Y values:,0.986327,0.98352, Max Z values:,0.000671,-0.003968
Average X value:,-0.001148, Average Y value:,0.984996, Average Z value:,0.214796, Max X values:,0.000183,-0.003968, Max Y values:,0.986327,0.98352, Max Z values:,0.000183,-0.003968
Average X value:,-0.001196, Average Y value:,0.985076, Average Z value:,0.21479, Max X values:,0.000183,-0.003968, Max Y values:,0.987182,0.98352, Max Z values:,0.000183,-0.003968
Average X value:,-0.00116, Average Y value:,0.9851, Average Z value:,0.214857, Max X values:,0.000183,-0.003968, Max Y values:,0.987182,0.98352, Max Z values:,0.000183,-0.003968
Average X value:,-0.001215, Average Y value:,0.985143, Average Z value:,0.214991, Max X values:,0.000183,-0.003968, Max Y values:,0.987182,0.98352, Max Z values:,0.000183,-0.003968
Average X value:,-0.001306, Average Y value:,0.985106, Average Z value:,0.215119, Max X values:,0.000183,-0.003968, Max Y values:,0.987182,0.98352, Max Z values:,0.000183,-0.003968
Average X value:,-0.001239, Average Y value:,0.9851, Average Z value:,0.215119, Max X values:,0.000183,-0.003968, Max Y values:,0.987182,0.98352, Max Z values:,0.000183,-0.003968
