You entered a buffer length of 100,x_100_up,,y_100_up,,z_100_up,,,,,,,,,
Average X value:,0.028442, Average Y value:,1.053726, Average Z value:,0.225408, Max X values:,0.301227,-0.215284, Max Y values:,2.661844,-0.280474, Max Z values:,0.301227,-0.215284
Average X value:,0.030368, Average Y value:,1.066203, Average Z value:,0.227341, Max X values:,0.301227,-0.215284, Max Y values:,2.661844,-0.280474, Max Z values:,0.301227,-0.215284
Average X value:,0.03191, Average Y value:,1.078989, Average Z value:,0.227837, Max X values:,0.301227,-0.215284, Max Y values:,2.661844,-0.280474, Max Z values:,0.301227,-0.215284
Average X value:,0.033394, Average Y value:,1.091278, Average Z value:,0.227309, Max X values:,0.301227,-0.215284, Max Y values:,2.661844,-0.280474, Max Z values:,0.301227,-0.215284
Average X value:,0.035118, Average Y value:,1.102759, Average Z value:,0.226619, Max X values:,0.301227,-0.215284, Max Y values:,2.661844,-0.280474, Max Z values:,0.301227,-0.215284
Average X value:,0.036592, Average Y value:,1.112733, Average Z value:,0.226018, Max X values:,0.301227,-0.215284, Max Y values:,2.661844,-0.280474, Max Z values:,0.301227,-0.215284
Average X value:,0.037462, Average Y value:,1.121012, Average Z value:,0.225577, Max X values:,0.301227,-0.215284, Max Y values:,2.661844,-0.280474, Max Z values:,0.301227,-0.215284
Average X value:,0.037551, Average Y value:,1.127453, Average Z value:,0.225491, Max X values:,0.301227,-0.215284, Max Y values:,2.661844,-0.280474, Max Z values:,0.301227,-0.215284
Average X value:,0.037774, Average Y value:,1.131591, Average Z value:,0.225805, Max X values:,0.301227,-0.215284, Max Y values:,2.661844,-0.280474, Max Z values:,0.301227,-0.215284
Average X value:,0.038417, Average Y value:,1.133581, Average Z value:,0.226525, Max X values:,0.301227,-0.215284, Max Y values:,2.661844,-0.280474, Max Z values:,0.301227,-0.215284
Average X value:,0.039532, Average Y value:,1.133481, Average Z value:,0.227359, Max X values:,0.301227,-0.215284, Max Y values:,2.661844,-0.280474, Max Z values:,0.301227,-0.215284
Average X value:,0.040657, Average Y value:,1.131694, Average Z value:,0.227945, Max X values:,0.301227,-0.215284, Max Y values:,2.661844,-0.280474, Max Z values:,0.301227,-0.215284
Average X value:,0.04098, Average Y value:,1.128956, Average Z value:,0.227641, Max X values:,0.301227,-0.215284, Max Y values:,2.661844,-0.280474, Max Z values:,0.301227,-0.215284
